v1
v0.8.2
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Core i5-10600K CPU @ 4.10GHz,AMD Radeon RX 9070 XT (RADV GFX1201),32148228,7.0.1-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
2609.29,0.383246,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,149904658
99.5854,10.0416,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,159947367
100.035,9.99646,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,169944204
99.531,10.0471,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,179992813
100.713,9.9292,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,189921342
99.8163,10.0184,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,199941519
100.34,9.96616,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,209907040
99.7839,10.0217,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,219929962
99.7685,10.0232,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,229955041
99.7141,10.0287,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,239985680
100.505,9.9498,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,249934545
99.6437,10.0358,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,259971555
100.275,9.97258,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,269944735
99.8558,10.0144,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,279960073
100.45,9.95518,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,289914940
99.7,10.0301,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,299946442
100.257,9.97439,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,309921241
99.6496,10.0352,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,319957466
100.423,9.95787,19.3523,0,0,73,0,350,0,0,0,12.4878,0.76236,0,4516,329915127
