v1
v0.8.2
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Core i5-10600K CPU @ 4.10GHz,AMD Radeon RX 9070 XT (RADV GFX1201),32148228,7.0.1-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
2300.02,0.434778,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,147855925
99.629,10.0372,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,157894598
99.9039,10.0096,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,167905930
99.8925,10.0108,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,177917266
100.422,9.95796,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,187875822
99.7363,10.0264,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,197903507
99.9628,10.0037,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,207908626
100.036,9.99642,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,217905435
100.142,9.98581,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,227891712
99.8378,10.0162,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,237908705
99.846,10.0154,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,247926202
99.7208,10.028,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,257954863
100.053,9.99467,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,267951863
100.407,9.95951,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,277910742
100.342,9.96591,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,287876975
99.7996,10.0201,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,297897563
100.008,9.99921,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,307897727
100.014,9.99864,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,317897013
100.193,9.98075,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,327877726
99.7923,10.0208,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,337899433
99.6362,10.0365,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,347938475
100.428,9.95741,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,357895574
100.158,9.98421,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,367879945
99.6642,10.0337,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,377914806
100.422,9.95795,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,387873106
99.7643,10.0236,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,397897177
100.04,9.996,36.8846,0,0,67,0,1200,0,0,0,12.5302,0.000278473,0,4499,407894179
