v1
v0.8.2
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Core i5-10600K CPU @ 4.10GHz,AMD Radeon RX 9070 XT (RADV GFX1201),32148228,7.0.1-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
2060.42,0.485338,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,153683276
99.6485,10.0353,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,163720158
99.919,10.0081,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,173729295
100.103,9.98974,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,183719607
100.348,9.96528,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,193685104
99.3862,10.0618,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,203748347
100.249,9.97521,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,213724530
99.9544,10.0046,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,223729536
100.255,9.97457,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,233705584
99.5661,10.0436,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,243749345
100.332,9.96694,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,253716835
99.3225,10.0682,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,263788054
100.431,9.95711,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,273745245
100.026,9.9974,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,283743793
100.489,9.95137,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,293694502
99.6388,10.0362,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,303732359
100.408,9.95934,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,313691470
99.5354,10.0467,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,323739825
100.436,9.95656,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,333695877
99.6688,10.0332,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,343730658
100.209,9.97917,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,353710251
99.7167,10.0284,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,363739823
100.456,9.95456,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,373693817
99.5766,10.0425,20.7064,0,0,68,0,350,0,0,0,12.5358,0.733524,0,4502,383737689
