v1
v0.8.2
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Core i5-10600K CPU @ 4.10GHz,AMD Radeon RX 9070 XT (RADV GFX1201),32148228,7.0.1-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
2769.28,0.361105,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,143830619
99.653,10.0348,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,153867411
99.7201,10.0281,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,163895966
100.097,9.99032,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,173887260
99.9263,10.0074,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,183895451
100.239,9.97612,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,193872080
99.8704,10.013,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,203885698
100.306,9.96954,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,213855287
99.6045,10.0397,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,223896578
100.276,9.97249,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,233868996
99.7309,10.027,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,243897030
99.9893,10.0011,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,253899191
99.9519,10.0048,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,263904830
99.892,10.0108,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,273916495
100.271,9.97299,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,283890113
100.338,9.96632,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,293855853
99.5627,10.0439,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,303901527
100.49,9.95129,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,313852878
99.6427,10.0359,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,323889611
99.9761,10.0024,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,333892566
99.8542,10.0146,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,343907903
100.378,9.96235,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,353870197
99.6197,10.0382,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,363909979
100.482,9.95206,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,373862159
99.5582,10.0444,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,383908129
100.467,9.95351,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,393861331
99.6632,10.0338,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,403896753
100.287,9.97143,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,413868072
99.5971,10.0405,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,423909829
100.039,9.99605,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,433906342
99.964,10.0036,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,443910900
100.349,9.96527,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,453876151
99.6249,10.0376,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,463914745
99.9853,10.0015,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,473917362
100.034,9.99663,21.0651,0,0,64,0,350,0,0,0,12.1231,1.49715,0,4499,483914260
