v1
v0.8.2
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Core i5-10600K CPU @ 4.10GHz,AMD Radeon RX 9070 XT (RADV GFX1201),32148228,7.0.1-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
2822.93,0.354242,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,147515913
99.4134,10.059,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,157576694
100.225,9.97758,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,167554758
99.4929,10.051,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,177607463
100.745,9.92607,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,187533026
99.6158,10.0386,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,197572980
100.445,9.95574,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,207528545
99.7004,10.0301,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,217559622
99.9484,10.0052,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,227566031
99.8543,10.0146,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,237581680
100.23,9.97701,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,247559292
99.2381,10.0768,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,257637719
100.656,9.93481,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,267572563
100.036,9.99641,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,277569890
100.346,9.96555,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,287535141
99.4753,10.0527,20.4227,0,0,75,0,350,0,0,0,12.5553,0.822895,0,4499,297589448
