profile dry-run:
  checked_tasks=109
  pending_affinity=109
  pending_nice=0
  pending_ionice=0
  total_pending_tasks=109
  affinity_changes:
    tid=519075 process_pid=Some(Pid(519072)) original_mask=0-11 proposed_mask=0,6
    tid=519644 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519645 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519646 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519647 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519754 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519755 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519756 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519757 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519758 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519759 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519760 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519761 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519762 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519763 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519764 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519765 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519772 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519773 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519774 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519782 process_pid=Some(Pid(519418)) original_mask=3 proposed_mask=1-5,7-11
    tid=519783 process_pid=Some(Pid(519418)) original_mask=3 proposed_mask=1-5,7-11
    tid=519784 process_pid=Some(Pid(519418)) original_mask=2 proposed_mask=1-5,7-11
    tid=519785 process_pid=Some(Pid(519418)) original_mask=2 proposed_mask=1-5,7-11
    tid=519786 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519787 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519788 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519797 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519798 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519799 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519825 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=519826 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520094 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520101 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520102 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520109 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520110 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520111 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520118 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520119 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520120 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520121 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520271 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
    tid=520808 process_pid=Some(Pid(519418)) original_mask=0-11 proposed_mask=1-5,7-11
  nice_changes=[]
  ionice_changes=[]
apply-profile dry-run did not change live affinity, nice, ionice, audit state, or restore state
apply-profile is one-shot; use --watch to keep applying to new threads
